id;title;content;continent;tags;image_path
1;Waterfall in Zambia;black-forest-labs/FLUX.1-devAfrica,a breathtaking panoramic view from  mountain looking at a  waterfall in Zambia,,A detailed digital illustration of a fantastical scene: Africa, zambia, and a majestic mountain. The foreground showcases a lush, green landscape with a waterfall cascading down the rocky cliffs, while the background showcases a vast, snow-capped mountain range. The illustration captures the awe-inspiring beauty of nature, with a realistic depiction of the continents and the surrounding mountains, creating a sense of depth and perspective.,./images/Africa/a breathtaking panoramic view from  mountain looking at a  waterfall in Zambia.jpg,./images/Africa/upscaled_a breathtaking panoramic view from  mountain looking at a  waterfall in Zambia.jpg;Africa;waterfall, zambia, mountain, Africa;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Africa\a breathtaking panoramic view from  mountain looking at a  waterfall in Zambia.jpg
2;Waterfall in Zambia;stabilityai/stable-diffusion-3-medium-diffusersAfrica,a fantastic panoramic view from  mountain looking at a  waterfall in Zambia,waterfall, zambia, mountain, panoramic,A detailed digital illustration of a location, depicting a large African continent, a waterfall cascading down a rocky cliff, surrounded by lush greenery and a mountain range. The illustration is a realistic style, with a focus on the intricate details of the landscape, the foreground features a tall tree with a thick trunk and branches, while the background showcases a vast landscape with a clear blue sky and scattered clouds, creating a sense of depth and perspective.,./images/Africa/a fantastic panoramic view from  mountain looking at a  waterfall in Zambia.jpg,./images/Africa/upscaled_a fantastic panoramic view from  mountain looking at a  waterfall in Zambia.jpg;Africa;waterfall, zambia, mountain, Africa;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Africa\a fantastic panoramic view from  mountain looking at a  waterfall in Zambia.jpg
3;Waterfall in Zambia;jbilcke-hfAfrica,a panoramic view from mountain looking at a stunning waterfall in Zambia,waterfall, zambia, mountain, panoramic,A detailed digital illustration of a location, depicting a large African continent, a waterfall cascading down a rocky cliff, surrounded by lush greenery and a mountain range. The illustration is a realistic style, with a focus on the intricate details of the landscape, the foreground features a tall tree with a thick trunk and branches, while the background showcases a vast landscape with a clear blue sky and scattered clouds, creating a sense of depth and perspective.,./images/Africa/a panoramic view from mountain looking at a stunning waterfall in Zambia.jpg,./images/Africa/upscaled_a panoramic view from mountain looking at a stunning waterfall in Zambia.jpg;Africa;waterfall, zambia, mountain, Africa;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Africa\a panoramic view from mountain looking at a stunning waterfall in Zambia.jpg
4;Waterfall in Zambia;prithivMLmodsAfrica,a stunning panoramic view from  mountain looking at a breathtaking waterfall in Zambia,waterfall, zambia, mountain, breathtaking,A detailed digital illustration of a fantastical scene: Africa, zambia, and a majestic mountain. The foreground showcases a lush, green landscape with a large waterfall cascading down the rocky cliffs, while the background showcases a vast, snow-capped mountain range. The illustration captures the natural beauty of Africa, its vibrant greens, blues, and yellows, capturing the essence of a solitary, solitary figure.,./images/Africa/a stunning panoramic view from  mountain looking at a breathtaking waterfall in Zambia.jpg,./images/Africa/upscaled_a stunning panoramic view from  mountain looking at a breathtaking waterfall in Zambia.jpg;Africa;waterfall, zambia, mountain, Africa;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Africa\a stunning panoramic view from  mountain looking at a breathtaking waterfall in Zambia.jpg
5;Sahara desert ; Tuareg and his camel in the sahara desrt;Africa;Tuareg, camel, Sahara ;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Africa\a Tuareg and his camel in the Sahara desert.jpg
6;Cityscape of Dubai;jbilcke-hf/flux-dev-panorama-lora-2, Asia-Middle-East,A beautiful cityscape of Dubai with a sunset in the background,dubai, sunset, cityscape, beautiful,A high-angle view of a location in Asia, Middle-East, dubai. The location is a large, detailed, realistic rendering of a city. The top half of the image is a clear blue sky with a few scattered clouds. There are two tall buildings on the left side of the image, one on the right side of the image and one on the left side of the image. The building on the right has a red roof and is slightly smaller than the one on the left. The building on the left has a white roof and,./images/Asia-Middle-East/A beautiful cityscape of Dubai with a sunset in the background.jpg,./images/Asia-Middle-East/upscaled_A beautiful cityscape of Dubai with a sunset in the background.jpg;Asia-Middle-East;Dubai, Cityscape ;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Asia-Middle-East\A beautiful cityscape of Dubai with a sunset in the background.jpg
7;Ancient City in Jorndan ;an ancient city in Jordan, with rock-cut architecture, once the thriving capital of the Nabataean Kingdom,ancient, A detailed digital illustration of a location in Asia-Middle East, Jordan, and the capital of the city. The focus is on the intricate details of the city's architecture, with a large building in the background that looks like a nabataean temple, with multiple domes and turrets. The sky is a deep blue, with scattered clouds, and a bright sun is shining through the gaps in the clouds.,./images/Asia-Middle-East/an ancient city in Jordan, with rock-cut architecture, once the thriving capital of the Nabataean Kingdom.jpg,./images/Asia-Middle-East/upscaled_an ancient city in Jordan, with rock-cut architecture, once the thriving capital of the Nabataean Kingdom.jpg;Asia-Middle-East;jordan, capital, architecture, nabataean, Jordan, ancient city, Nabataean;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Asia-Middle-East\an ancient city in Jordan, with rock-cut architecture, once the thriving capital of the Nabataean Kingdom.jpg
8;Taj Mahal ;prithivMLmods_Asia-Middle-East,The Taj Mahal is a stunning white marble mausoleum located in Agra, India. Built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal, it is recognized as one of the most beautiful buildings in the world.,marble,A high-angle view of a location in Asia-Middle-East, India. There are white marble columns with intricate carvings on the sides of each column. The columns are placed on top of a gray stone wall that is partially visible at the bottom of the image. There is a large number of people walking across the area and one person walking toward the right side of the image. There is a group of people walking towards the left side of the image. There is a tall building directly behind the middle of the image that has a large number of,./images/Asia-Middle-East/The Taj Mahal is a stunning white marble mausoleum located in Agra, India. Built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal, it is recognized as one of the most beautiful buildings in the world..jpg,./images/Asia-Middle-East/upscaled_The Taj Mahal is a stunning white marble mausoleum located in Agra, India. Built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal, it is recognized as one of the most beautiful buildings in the world..jpg;Asia-Middle-East;Taj Mahal, Agra, India;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Asia-Middle-East\The Taj Mahal is a stunning white marble mausoleum located in Agra, India. Built by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal, it is recognized as one of the most beautiful buildings in the world..jpg
9;A castle and a horse;Europe,a castle in the middle of a forest with a princess on a horse and a knight in shining armor,forest, horse,A view of a large building with a red roof and white walls on it. It is in the middle, and there are trees around it. There is a horse in the middle, going across. The sun is shining on the top of the building. On the left is part of a building that is covered in green ivy. Part of a metal fence can be seen on the right. Trees are visible on the left and right sides of it. They have green leaves on them. The sky is blue and cloudless.,./images/Europe/a castle in the middle of a forest with a princess on a horse and a knight in shining armor.jpg,./images/Europe/upscaled_a castle in the middle of a forest with a princess on a horse and a knight in shining armor.jpg;Europe;a horse, a castle;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\a castle in the middle of a forest with a princess on a horse and a knight in shining armor.jpg
10;2 woman, a castle and a horse;prithivMLmods/Flux-Realism-FineDetailedEurope,a medieval castle with a princess on a horse and a knight in shining armor,horse, princess, medieval, knight, castle,A detailed digital illustration of a realistic depiction of a European horse and a majestic white woman, the horse is positioned in the center of the image, while the woman is to the right and slightly behind the horse, both are dressed in medieval attire with a red and white castle on top. The background features a large castle with multiple towers and a tall spire, there are trees and shrubs around the castle, the castle has a green roof and several smaller towers, the buildings are placed side by side, creating a sense of depth,./images/Europe/a medieval castle with a princess on a horse and a knight in shining armor.jpg,./images/Europe/upscaled_a medieval castle with a princess on a horse and a knight in shining armor.jpg;Europe;a horse, princess, castle, middle age, medieval;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\a medieval castle with a princess on a horse and a knight in shining armor.jpg
